first_purchase_date,user_id,purchase_id,venue_id,product_line
19.03.20,6767946,85268e3237f5770,632427c4633,Restaurant
11.04.20,2059607,76536l2565p7994,398873c9040,Restaurant
08.04.20,3959440,16109g9441m1972,844144p5894,Restaurant
19.04.20,1879402,62937z7471t6397,190031r6061,Restaurant
16.04.20,8216493,37122s5105v7666,280309g4883,Restaurant
06.04.20,3212857,69230a6340g9393,664402d6293,Restaurant
12.03.20,9844157,17731x1583o4160,279927a7888,Restaurant
15.03.20,7781609,35859v8464w9249,961434u2055,Restaurant
01.04.20,7890391,15971d9545a6902,118775p4438,Restaurant
23.03.20,1944542,51848n1225d3302,691526u8324,Restaurant
02.04.20,7286199,92198p5403v8929,435760v7511,Restaurant
19.04.20,4739781,18644g5712f2893,876157e8275,Restaurant
03.04.20,5487416,65907o8661c1321,433782e9078,Restaurant
15.03.20,5061830,26231b2170z2358,100514v5965,Restaurant
25.03.20,2514509,11266a4866v7505,552139h7706,Restaurant
18.03.20,9510717,72957e6217e6887,802181g7135,Restaurant
13.03.20,3513687,48868n9163g1549,809999p9808,Restaurant
16.03.20,6152335,93403u7640u6658,398873c9040,Restaurant
26.03.20,8559806,16255q5936s2860,481877z1569,Restaurant
28.03.20,2898499,85355h3831w1177,940726t9955,Restaurant
05.04.20,2334665,99536c5046i5258,941155p2895,Restaurant
23.03.20,9664932,37166m8809w4211,509910z3297,Restaurant
07.04.20,2758668,92149r8382u4649,122915b3615,Restaurant
15.03.20,8526101,73756o6422u1579,929750i1407,Restaurant
21.04.20,8425378,33599j6650a1564,561473u7086,Restaurant
20.04.20,1981345,32095j9374i7428,278992n1442,Restaurant
02.04.20,7939540,67634p5647w4310,513275x9828,Restaurant
21.03.20,4735639,46614h3657j1488,232664z5482,Restaurant
19.03.20,3380672,13595r8553v2418,414379v8013,Restaurant
20.03.20,3768006,90295h8659m1730,847444t7551,Restaurant
16.04.20,6131471,18012m1504h3872,120772q9252,Restaurant
17.04.20,6146788,67431y9088m8605,967598t8049,Restaurant
17.03.20,7469229,64132h2176k9061,103690x9634,Restaurant
26.03.20,6769673,40551d4301q3147,504788n1712,Restaurant
07.04.20,2847235,19312x4001t3499,940318q8440,Restaurant
10.04.20,1344863,38224x5895s2612,299700c6732,Restaurant
07.04.20,4728900,70984l9794h9951,189914l6064,Restaurant
08.04.20,4226186,42506o9039i5795,264434a3970,Restaurant
24.03.20,1422636,84540c4918q9294,840411x8287,Restaurant
15.03.20,8177770,66844a8354e3891,828999h3063,Restaurant
03.04.20,3672006,89121n4760g8278,450559s5533,Restaurant
14.03.20,2581057,26505q9918k3265,876157e8275,Restaurant
12.03.20,5093941,86476q6829y2432,959850a6960,Restaurant
13.03.20,2681049,53814t9716i4819,190031r6061,Restaurant
20.04.20,7032696,76837m2801p1223,960949q9277,Restaurant
12.04.20,7006514,62547b3654g5715,192976e3251,Restaurant
27.03.20,6013429,34900r7499n8941,243604r1416,Restaurant
16.03.20,6448922,52756b1752x9840,174400s2993,Restaurant
13.03.20,3916993,89231t9671l8823,543598g7767,Restaurant
10.04.20,2309501,12872i3805o6511,164835q7890,Restaurant
08.04.20,6635006,46106k7552a3802,783458q2349,Restaurant
04.04.20,2336173,45427s1159p9948,276937l2287,Restaurant
25.03.20,3539765,70722d7975y1900,192976e3251,Restaurant
29.03.20,5150730,12252l2869s2050,802865p3349,Restaurant
14.04.20,5986529,71898d5695g7029,238913y4112,Restaurant
16.04.20,8486774,44572u3153m6591,391408w1383,Restaurant
16.03.20,7161737,68749o3289l9190,702471y9270,Restaurant
10.04.20,7454161,11857n8643c9025,510808j4325,Restaurant
21.03.20,3909942,27782a8636n5766,175767v6791,Restaurant
04.04.20,7143902,61778e3440w9726,892361n8777,Restaurant
